,timestamp,longitude,latitude,phone_brand_en,gender,age_segment,location
85699,2016-05-07 00:42:50,114.91,27.82,Huawei,M,39+,Jiangxi
968765,2016-05-02 09:23:15,120.71,31.35,Xiaomi,M,29-32,Jiangsu
127332,2016-05-06 09:24:06,113.33,23.18,Xiaomi,M,23-26,Guangdong
492762,2016-05-01 13:57:12,1.0,1.0,Other,M,39+,other
1170601,2016-05-05 22:52:53,114.37,30.5,Xiaomi,M,29-32,Hubei
1106980,2016-05-04 19:59:02,113.82,34.79,vivo,M,22-,Henan
374610,2016-05-05 12:29:35,118.72,37.55,Samsung,M,33-38,Shandong
554495,2016-05-01 18:33:16,121.17,32.32,Huawei,F,39+,Jiangsu
72198,2016-05-01 14:04:48,113.85,22.72,LeEco,M,23-26,Guangdong
177734,2016-05-07 08:04:43,114.33,30.54,Huawei,M,33-38,Hubei
200532,2016-05-04 21:42:03,116.38,39.99,Huawei,F,33-38,Beijing
83466,2016-05-07 23:48:51,0.62,0.93,Huawei,M,33-38,other
931807,2016-05-05 11:47:10,116.17,40.06,Other,M,39+,Beijing
17046,2016-05-02 12:04:01,115.02,38.03,Xiaomi,F,39+,Hebei
1013009,2016-05-04 10:04:32,120.34,31.67,Xiaomi,M,23-26,Jiangsu
1066150,2016-05-03 18:51:41,110.53,21.96,Huawei,M,27-28,Guangdong
903807,2016-05-05 16:04:00,120.56,31.44,Xiaomi,F,39+,Jiangsu
605069,2016-05-05 12:04:29,118.25,25.48,Huawei,M,29-32,Fujian
1215745,2016-05-01 19:12:10,116.09,24.29,Xiaomi,M,29-32,Guangdong
1219008,2016-05-03 13:12:15,120.35,31.86,Xiaomi,M,29-32,Jiangsu
1106666,2016-05-02 20:34:11,116.46,40.01,Huawei,M,33-38,Beijing
1024861,2016-05-05 10:02:41,116.27,40.15,Xiaomi,M,23-26,Beijing
140274,2016-05-04 19:21:57,113.16,40.01,Xiaomi,F,33-38,Shanxi
613104,2016-05-04 02:06:06,119.95,31.69,Xiaomi,M,22-,Jiangsu
1061442,2016-05-03 16:24:21,109.76,22.95,Xiaomi,M,29-32,Guangxi
420615,2016-05-03 14:36:43,120.61,30.0,Huawei,M,29-32,Zhejiang
757497,2016-05-03 19:15:45,117.02,36.65,Samsung,M,23-26,Shandong
153256,2016-05-01 10:27:41,118.72,25.34,Huawei,M,23-26,Fujian
577570,2016-05-01 13:33:06,112.57,37.91,OPPO,F,27-28,Shanxi
1122224,2016-05-07 04:00:16,116.1,39.36,Other,F,23-26,Hebei
26946,2016-05-05 12:48:17,1.0,1.0,Samsung,F,39+,other
1254298,2016-05-06 17:18:13,114.04,22.52,Samsung,M,29-32,Guangdong
134712,2016-05-05 14:00:05,1.0,1.0,Huawei,M,39+,other
98274,2016-05-04 04:17:53,118.74,32.03,Samsung,F,33-38,Jiangsu
800802,2016-05-04 14:38:13,112.56,33.0,Huawei,M,33-38,Henan
1073793,2016-05-07 10:31:49,118.14,39.63,Huawei,M,29-32,Hebei
471625,2016-05-02 12:26:06,118.15,39.63,Huawei,F,33-38,Hebei
189570,2016-05-04 11:06:06,119.5,30.87,Huawei,M,27-28,Anhui
499191,2016-05-07 08:34:51,113.86,27.65,vivo,M,22-,Jiangxi
118905,2016-05-07 13:02:49,114.2,30.19,Xiaomi,F,22-,Hubei
1128657,2016-05-02 04:17:19,111.21,27.85,OPPO,M,22-,Hunan
479041,2016-05-03 18:59:17,121.47,31.27,Huawei,F,29-32,Shanghai
1023450,2016-05-03 23:47:17,116.4,40.12,vivo,M,23-26,Beijing
625966,2016-05-05 00:42:34,113.39,22.53,Samsung,M,33-38,Guangdong
1221180,2016-05-05 08:53:12,117.09,36.65,Huawei,F,39+,Shandong
996614,2016-05-03 21:45:42,118.05,36.8,vivo,F,33-38,Shandong
142823,2016-05-06 14:06:10,104.69,31.03,Xiaomi,F,22-,Sichuan
611184,2016-05-02 06:52:57,119.59,32.62,Huawei,F,39+,Jiangsu
1035104,2016-05-03 15:50:02,114.1,22.56,vivo,M,22-,Guangdong
300909,2016-05-05 01:28:58,103.77,29.6,OPPO,F,29-32,Sichuan
548505,2016-05-02 14:08:08,109.5,18.24,Huawei,M,23-26,Hainan
207288,2016-05-04 17:11:38,123.47,41.82,Meizu,M,39+,Liaoning
110906,2016-05-05 22:02:02,121.59,29.88,Huawei,M,39+,Zhejiang
346360,2016-05-06 13:40:33,110.78,32.61,Xiaomi,M,23-26,Hubei
847040,2016-05-02 06:22:18,117.49,38.73,OPPO,F,27-28,Tianjin
828003,2016-05-01 05:31:09,113.34,34.82,Huawei,F,33-38,Henan
923521,2016-05-06 08:44:37,120.9,32.02,Huawei,M,33-38,Jiangsu
407344,2016-05-01 18:22:16,113.82,31.62,Huawei,M,39+,Hubei
86905,2016-05-05 14:27:14,116.25,40.21,Huawei,M,39+,Beijing
722930,2016-05-07 22:29:47,114.45,39.86,OPPO,M,39+,Hebei
1034925,2016-05-04 16:11:15,117.83,30.96,Samsung,F,33-38,Anhui
656595,2016-05-02 00:18:18,111.23,28.38,Other,M,29-32,Hunan
1211276,2016-05-05 02:59:57,120.54,31.27,Samsung,M,22-,Jiangsu
421693,2016-05-01 00:27:37,114.35,30.51,Huawei,M,33-38,Hubei
619713,2016-05-05 17:05:03,113.3,23.45,Huawei,F,23-26,Guangdong
455890,2016-05-05 23:28:00,121.13,31.44,Huawei,M,29-32,Jiangsu
558546,2016-05-07 21:11:29,125.29,43.93,Huawei,M,33-38,Jilin
231987,2016-05-05 06:53:34,113.3,22.73,Coolpad,F,23-26,Guangdong
132211,2016-05-03 08:45:13,111.66,29.05,Xiaomi,M,22-,Hunan
712933,2016-05-02 10:38:04,106.39,39.01,Huawei,M,33-38,Ningxia
790564,2016-05-05 13:24:14,112.02,27.38,Samsung,M,33-38,Hunan
967414,2016-05-06 04:58:58,117.49,31.39,Meizu,M,33-38,Anhui
1183445,2016-05-02 13:13:30,121.67,31.15,vivo,F,27-28,Shanghai
478194,2016-05-02 17:56:19,108.38,30.79,Samsung,M,33-38,Chongqing
777767,2016-05-04 22:46:32,1.0,1.0,Samsung,M,39+,other
882972,2016-05-01 12:05:11,121.44,37.48,Huawei,F,33-38,Shandong
552188,2016-05-05 10:10:19,117.2,39.12,Xiaomi,M,23-26,Tianjin
941867,2016-05-01 08:27:04,116.74,23.4,Samsung,M,29-32,Guangdong
197012,2016-05-04 16:43:18,106.63,26.38,Huawei,M,23-26,Guizhou
887298,2016-05-05 12:45:09,113.1,36.18,Other,M,39+,Shanxi
833868,2016-05-06 05:49:30,125.15,46.6,LeEco,M,39+,Heilongjiang
234195,2016-05-01 23:02:49,111.69,27.69,vivo,F,39+,Hunan
669627,2016-05-04 09:52:37,106.23,29.56,Huawei,F,23-26,Chongqing
683082,2016-05-01 11:17:55,117.51,36.72,Huawei,M,39+,Shandong
3056,2016-05-02 14:15:50,118.34,34.35,Huawei,F,39+,Jiangsu
772222,2016-05-02 09:06:33,1.0,1.0,OPPO,M,29-32,other
402200,2016-05-06 18:16:45,116.65,40.11,Huawei,M,23-26,Beijing
628189,2016-05-02 21:52:17,118.75,32.0,Samsung,M,33-38,Jiangsu
696875,2016-05-01 18:08:23,113.38,23.01,OPPO,M,29-32,Guangdong
1149258,2016-05-01 10:17:26,121.61,31.28,Other,M,33-38,Shanghai
261867,2016-05-02 11:16:36,113.62,34.83,Samsung,F,39+,Henan
146053,2016-05-03 13:09:01,122.97,41.09,vivo,M,27-28,Liaoning
364968,2016-05-07 19:04:45,120.39,32.44,Huawei,F,39+,Jiangsu
848790,2016-05-02 22:49:43,128.86,46.95,Huawei,M,39+,Heilongjiang
1221246,2016-05-05 21:55:39,104.03,30.65,Huawei,F,39+,Sichuan
181618,2016-05-06 22:02:06,101.79,28.12,Meizu,M,27-28,Sichuan
961192,2016-05-03 10:17:54,117.13,36.18,Huawei,M,29-32,Shandong
582763,2016-05-07 14:38:32,116.34,39.98,Huawei,M,33-38,Beijing
579416,2016-05-03 02:59:16,119.72,26.82,OPPO,F,29-32,Fujian
1004047,2016-05-05 11:36:02,120.76,37.8,HTC,M,23-26,Shandong
723849,2016-05-07 13:26:23,113.27,23.45,vivo,M,29-32,Guangdong
924583,2016-05-07 10:52:09,113.0,36.88,Xiaomi,M,39+,Shanxi
302788,2016-05-05 18:34:45,114.12,22.54,Xiaomi,F,29-32,Guangdong
1223090,2016-05-01 09:57:41,116.4,39.11,Xiaomi,M,33-38,Hebei
1151430,2016-05-06 17:39:30,113.45,23.1,Samsung,F,23-26,Guangdong
1098670,2016-05-01 02:06:21,104.79,31.89,Meizu,M,22-,Sichuan
658753,2016-05-02 08:59:05,119.73,32.03,HTC,M,23-26,Jiangsu
209072,2016-05-03 23:29:44,123.47,41.82,Meizu,M,39+,Liaoning
103823,2016-05-03 02:48:36,112.55,37.79,Samsung,M,33-38,Shanxi
873393,2016-05-05 16:03:33,113.68,31.26,Huawei,M,39+,Hubei
658029,2016-05-01 21:08:07,114.88,24.25,OPPO,M,23-26,Guangdong
288112,2016-05-05 13:29:27,115.31,36.81,Xiaomi,M,39+,Hebei
650070,2016-05-02 12:27:25,117.81,36.1,Huawei,M,39+,Shandong
1191961,2016-05-05 17:43:40,104.05,30.56,Xiaomi,M,33-38,Sichuan
62766,2016-05-01 15:34:14,114.69,30.34,Xiaomi,M,29-32,Hubei
282147,2016-05-07 22:56:27,116.99,39.4,Huawei,M,29-32,Tianjin
1138305,2016-05-03 04:57:25,116.83,40.36,Huawei,F,39+,Beijing
667554,2016-05-05 01:23:36,102.74,25.05,Samsung,M,27-28,Yunnan
1030049,2016-05-05 10:36:39,118.13,39.59,Samsung,M,23-26,Hebei
1115642,2016-05-03 12:44:40,119.21,25.99,Huawei,M,29-32,Fujian
612946,2016-05-07 11:06:26,113.26,23.19,OPPO,F,23-26,Guangdong
836630,2016-05-01 08:18:54,114.44,38.08,vivo,M,22-,Hebei
1026780,2016-05-06 17:35:20,109.98,22.27,OPPO,M,22-,Guangxi
14047,2016-05-05 22:28:56,105.54,30.54,Huawei,M,22-,Sichuan
1171452,2016-05-01 23:45:02,104.17,30.62,LeEco,M,23-26,Sichuan
964810,2016-05-05 12:01:43,104.0,30.0,Lenovo,M,23-26,Sichuan
432620,2016-05-07 09:56:00,116.38,30.28,OPPO,F,22-,Anhui
659195,2016-05-03 23:03:54,111.48,27.25,vivo,F,39+,Hunan
81020,2016-05-02 23:45:33,114.11,22.54,Huawei,M,39+,Guangdong
520123,2016-05-01 07:30:43,112.86,22.89,Huawei,M,33-38,Guangdong
1163630,2016-05-03 04:10:47,114.47,38.03,HTC,M,33-38,Hebei
409106,2016-05-06 13:11:50,113.34,23.13,Huawei,M,29-32,Guangdong
307935,2016-05-04 17:56:48,104.03,30.71,Huawei,M,27-28,Sichuan
644946,2016-05-06 22:11:31,106.66,28.99,Huawei,M,33-38,Chongqing
800896,2016-05-02 19:26:10,112.53,33.0,Huawei,M,33-38,Henan
229110,2016-05-07 12:42:12,121.46,37.43,Huawei,F,27-28,Shandong
1099854,2016-05-03 11:07:56,119.55,35.39,Xiaomi,M,27-28,Shandong
474767,2016-05-02 11:06:55,117.98,24.6,vivo,F,23-26,Fujian
1177453,2016-05-06 15:47:10,125.07,45.52,Xiaomi,F,27-28,Heilongjiang
673797,2016-05-01 19:27:05,106.22,29.58,vivo,M,29-32,Chongqing
465116,2016-05-02 08:24:52,114.26,30.57,Huawei,F,39+,Hubei
1088532,2016-05-05 08:22:09,120.67,28.01,Meizu,M,22-,Zhejiang
691078,2016-05-05 11:49:58,116.7,23.36,Meizu,F,23-26,Guangdong
289967,2016-05-07 22:26:41,118.08,24.63,Xiaomi,M,39+,Fujian
562165,2016-05-04 10:02:18,120.3,30.41,OPPO,M,29-32,Zhejiang
637539,2016-05-06 10:50:05,118.05,24.52,Meizu,M,33-38,Fujian
394501,2016-05-06 10:56:37,121.41,31.13,Meizu,M,39+,Shanghai
758665,2016-05-06 12:48:05,118.22,25.5,Xiaomi,M,29-32,Fujian
21965,2016-05-03 16:23:23,104.09,30.66,vivo,F,23-26,Sichuan
53472,2016-05-04 15:33:34,1.0,1.0,vivo,F,39+,other
1205157,2016-05-07 23:27:00,114.11,22.56,Coolpad,M,23-26,Guangdong
897238,2016-05-03 16:07:55,116.3,39.98,Huawei,M,39+,Beijing
512061,2016-05-07 21:04:59,119.99,36.78,vivo,M,29-32,Shandong
1107629,2016-05-07 19:59:23,108.86,34.23,Meizu,M,33-38,Shanxi
598886,2016-05-04 20:38:36,1.0,1.0,Huawei,F,33-38,other
161627,2016-05-06 16:37:26,116.35,40.02,Huawei,M,33-38,Beijing
342276,2016-05-03 02:32:49,113.68,34.61,Huawei,M,29-32,Henan
1246379,2016-05-04 16:48:04,117.58,26.23,vivo,F,39+,Fujian
386190,2016-05-07 21:27:59,120.92,31.28,Huawei,M,23-26,Jiangsu
1115482,2016-05-03 13:00:23,119.21,25.99,Huawei,M,29-32,Fujian
382534,2016-05-05 12:08:17,112.73,37.7,Huawei,F,39+,Shanxi
988534,2016-05-04 20:11:35,116.42,37.27,Huawei,M,22-,Shandong
697080,2016-05-01 00:12:28,110.91,21.64,Huawei,M,29-32,Guangdong
426147,2016-05-04 19:29:03,108.93,34.25,Samsung,M,29-32,Shanxi
130641,2016-05-04 02:55:38,126.58,45.71,LeEco,M,33-38,Heilongjiang
1044246,2016-05-04 00:19:31,120.65,42.85,vivo,M,39+,Inner Mongolia
62351,2016-05-05 11:38:45,114.39,38.04,Coolpad,M,39+,Hebei
1132145,2016-05-01 00:48:59,108.22,22.65,HTC,M,29-32,Guangxi
139473,2016-05-03 12:41:18,114.53,38.01,vivo,F,39+,Hebei
340623,2016-05-03 09:21:07,113.65,34.79,vivo,M,29-32,Henan
474966,2016-05-04 15:37:35,118.1,24.44,vivo,F,23-26,Fujian
304098,2016-05-04 07:54:36,120.11,30.3,Xiaomi,F,33-38,Zhejiang
482234,2016-05-06 17:15:34,114.24,22.69,Huawei,M,33-38,Guangdong
271870,2016-05-04 22:41:11,116.35,37.44,Huawei,F,39+,Shandong
796736,2016-05-02 15:47:17,120.43,36.11,OPPO,M,33-38,Shandong
1073955,2016-05-03 09:30:00,117.46,31.86,Meizu,F,27-28,Anhui
260713,2016-05-04 10:21:19,111.92,34.74,Huawei,M,27-28,Henan
788365,2016-05-06 11:08:24,116.66,40.1,Xiaomi,M,29-32,Beijing
420360,2016-05-04 18:59:52,120.61,29.99,Huawei,M,29-32,Zhejiang
571024,2016-05-03 00:21:44,113.51,27.67,Huawei,M,39+,Hunan
671732,2016-05-01 13:39:08,111.6,35.49,OPPO,F,33-38,Shanxi
1191266,2016-05-04 02:46:44,113.46,34.15,Samsung,M,23-26,Henan
1061010,2016-05-01 06:48:41,115.02,37.78,Huawei,F,39+,Hebei
83864,2016-05-04 15:31:24,113.24,23.15,LeEco,F,39+,Guangdong
825619,2016-05-07 11:00:36,121.59,38.98,OPPO,F,27-28,Liaoning
331077,2016-05-05 19:26:46,1.0,1.0,Huawei,M,39+,other
1020035,2016-05-04 20:31:09,110.25,18.71,Huawei,M,27-28,Hainan
1250489,2016-05-06 14:15:30,119.89,33.89,vivo,F,29-32,Jiangsu
41917,2016-05-07 20:22:12,114.06,22.54,OPPO,F,39+,Guangdong
109856,2016-05-02 15:09:08,116.75,23.44,Meizu,M,27-28,Guangdong
428527,2016-05-01 21:34:28,112.93,27.83,Huawei,M,27-28,Hunan
996579,2016-05-04 00:19:04,118.05,36.8,vivo,F,33-38,Shandong
327116,2016-05-04 22:54:50,121.38,30.2,Xiaomi,M,23-26,Zhejiang
506632,2016-05-05 13:26:55,108.93,34.24,Huawei,M,27-28,Shanxi
143195,2016-05-06 10:41:59,117.03,25.1,Xiaomi,M,33-38,Fujian
945358,2016-05-05 10:58:05,119.37,26.08,Xiaomi,M,39+,Fujian
846278,2016-05-05 17:17:43,113.44,29.47,Other,M,39+,Hunan
499550,2016-05-03 23:57:45,123.47,41.83,Samsung,M,27-28,Liaoning
1202886,2016-05-07 09:30:29,103.79,30.83,Meizu,F,23-26,Sichuan
1064569,2016-05-02 11:17:18,115.33,35.77,vivo,M,33-38,Henan
1076199,2016-05-05 08:31:16,125.25,43.84,Huawei,M,39+,Jilin
573058,2016-05-04 10:59:02,121.26,31.19,LeEco,M,29-32,Shanghai
440045,2016-05-07 11:06:04,121.47,31.29,Xiaomi,M,33-38,Shanghai
488977,2016-05-06 08:12:31,117.01,36.62,Xiaomi,F,39+,Shandong
227854,2016-05-04 14:10:56,116.48,39.96,Huawei,F,33-38,Beijing
728223,2016-05-06 21:09:31,115.25,24.1,OPPO,M,33-38,Guangdong
1189692,2016-05-03 18:30:51,106.08,30.81,vivo,M,29-32,Sichuan
604933,2016-05-03 23:54:59,118.59,24.93,Huawei,M,29-32,Fujian
130445,2016-05-05 14:58:41,119.02,33.63,Huawei,M,33-38,Jiangsu
673836,2016-05-04 14:12:45,106.22,29.58,vivo,M,29-32,Chongqing
83373,2016-05-01 17:23:12,103.15,23.37,Huawei,M,39+,Yunnan
725635,2016-05-04 21:29:46,117.15,28.96,Huawei,M,23-26,Jiangxi
311545,2016-05-04 10:42:49,113.39,22.53,Other,F,23-26,Guangdong
547866,2016-05-02 21:31:27,106.69,26.95,Other,F,39+,Guizhou
982678,2016-05-04 07:09:05,118.78,31.99,Huawei,M,33-38,Jiangsu
74641,2016-05-03 03:29:17,87.19,43.96,Huawei,M,29-32,Xinjiang
1018362,2016-05-07 07:59:28,117.29,31.75,Huawei,M,29-32,Anhui
1027263,2016-05-05 12:18:34,112.92,35.8,Huawei,M,29-32,Shanxi
323091,2016-05-04 20:39:32,114.1,22.7,Huawei,M,39+,Guangdong
423805,2016-05-06 07:59:43,116.41,40.04,Xiaomi,F,33-38,Beijing
381502,2016-05-02 02:20:11,117.19,39.16,Huawei,M,23-26,Tianjin
840107,2016-05-04 09:49:51,114.49,36.08,Xiaomi,M,23-26,Henan
451780,2016-05-07 15:58:57,132.0,47.24,Samsung,M,39+,Heilongjiang
301789,2016-05-02 00:03:20,117.27,34.29,Xiaomi,F,29-32,Jiangsu
771967,2016-05-06 08:28:23,116.72,39.51,Other,M,29-32,Hebei
482514,2016-05-06 09:11:44,114.24,22.69,Huawei,M,33-38,Guangdong
379569,2016-05-07 10:06:24,111.98,27.76,Coolpad,F,33-38,Hunan
809208,2016-05-06 04:11:09,113.73,22.78,vivo,M,27-28,Guangdong
1217668,2016-05-07 17:30:22,117.2,39.14,Huawei,F,23-26,Tianjin
957385,2016-05-01 23:22:10,117.0,25.09,vivo,M,33-38,Fujian
1129187,2016-05-02 09:55:22,111.19,27.86,OPPO,M,22-,Hunan
638279,2016-05-05 10:52:41,112.14,32.04,Xiaomi,M,29-32,Hubei
251300,2016-05-07 16:21:50,114.07,23.85,Xiaomi,F,29-32,Guangdong
465768,2016-05-01 12:10:45,106.46,29.57,Xiaomi,M,23-26,Chongqing
468080,2016-05-05 21:32:22,1.0,1.0,Huawei,F,33-38,other
830509,2016-05-05 16:16:37,110.09,32.27,vivo,F,39+,Hubei
873373,2016-05-04 12:53:17,113.68,31.26,Huawei,M,39+,Hubei
360413,2016-05-07 14:41:51,102.34,27.84,Huawei,M,29-32,Sichuan
1047159,2016-05-03 08:47:34,114.23,22.73,Samsung,M,29-32,Guangdong
1087438,2016-05-07 08:58:07,116.99,36.71,Huawei,F,29-32,Shandong
747556,2016-05-03 08:04:47,105.82,32.43,Samsung,M,29-32,Sichuan
646998,2016-05-02 10:50:25,117.66,24.51,Huawei,M,23-26,Fujian
932278,2016-05-06 10:42:15,104.22,35.14,Xiaomi,M,39+,Gansu
29999,2016-05-03 13:03:04,114.14,36.82,Huawei,M,29-32,Hebei
444153,2016-05-02 14:41:53,119.44,31.32,Xiaomi,F,39+,Jiangsu
646201,2016-05-02 10:12:43,116.35,39.95,Huawei,M,33-38,Beijing
206281,2016-05-02 19:56:32,117.64,39.02,Xiaomi,F,39+,Tianjin
1061554,2016-05-03 16:20:38,109.76,22.95,Xiaomi,M,29-32,Guangxi
657000,2016-05-01 13:09:04,1.0,1.0,Samsung,M,27-28,other
431806,2016-05-05 22:47:34,118.49,24.72,Huawei,M,27-28,Fujian
1155518,2016-05-03 01:21:19,116.72,39.48,Xiaomi,M,27-28,Hebei
838938,2016-05-06 02:14:32,113.94,23.03,vivo,M,29-32,Guangdong
1092118,2016-05-04 09:38:30,115.2,40.39,Huawei,M,29-32,Hebei
1254341,2016-05-06 13:28:21,114.04,22.52,Samsung,M,29-32,Guangdong
481119,2016-05-06 13:00:00,116.65,40.14,Huawei,M,39+,Beijing
605992,2016-05-05 08:16:31,113.31,23.03,Huawei,M,39+,Guangdong
328135,2016-05-02 02:42:44,120.28,30.31,Meizu,M,33-38,Zhejiang
822132,2016-05-02 19:48:49,113.28,23.21,OPPO,F,27-28,Guangdong
717072,2016-05-02 19:58:34,112.19,30.99,Samsung,F,39+,Hubei
436747,2016-05-05 12:49:37,104.0,30.0,Xiaomi,M,33-38,Sichuan
270875,2016-05-02 10:54:57,114.04,34.73,Huawei,F,23-26,Henan
54329,2016-05-01 11:36:02,119.33,25.71,Huawei,F,33-38,Fujian
237255,2016-05-03 14:05:30,121.53,29.86,Huawei,M,22-,Zhejiang
519450,2016-05-05 01:12:14,122.11,30.04,Huawei,F,33-38,Zhejiang
538755,2016-05-06 23:05:57,117.31,31.09,Meizu,M,23-26,Anhui
373272,2016-05-04 10:08:21,121.66,31.41,Huawei,M,39+,Shanghai
1116313,2016-05-02 06:52:27,120.19,32.14,Xiaomi,M,29-32,Jiangsu
48923,2016-05-04 07:20:53,112.22,22.7,Xiaomi,F,27-28,Guangdong
106375,2016-05-04 16:10:49,115.57,38.88,Xiaomi,F,39+,Hebei
868653,2016-05-03 11:47:33,115.7,37.71,Huawei,F,22-,Hebei
626049,2016-05-01 10:08:28,119.95,30.29,vivo,F,23-26,Zhejiang
87641,2016-05-06 17:49:38,121.41,31.14,Samsung,F,29-32,Shanghai
216523,2016-05-04 16:41:49,118.13,24.48,Huawei,M,27-28,Fujian
15690,2016-05-03 06:16:48,115.02,38.03,Xiaomi,F,39+,Hebei
31876,2016-05-01 17:54:01,111.57,27.62,Other,M,33-38,Hunan
123634,2016-05-01 10:18:46,120.49,31.33,Xiaomi,M,33-38,Jiangsu
566413,2016-05-05 10:00:34,104.05,30.69,Huawei,M,22-,Sichuan
1105200,2016-05-03 20:41:05,111.6,25.56,Huawei,M,22-,Hunan
329494,2016-05-05 18:33:06,113.9,23.06,Xiaomi,F,39+,Guangdong
1025721,2016-05-05 22:29:00,1.0,1.0,Samsung,M,23-26,other
161305,2016-05-01 23:13:32,113.82,36.08,Samsung,M,39+,Henan
1257157,2016-05-05 20:02:39,114.65,33.63,Coolpad,M,33-38,Henan
1161236,2016-05-05 11:07:49,114.34,23.01,Huawei,M,33-38,Guangdong
337828,2016-05-05 06:41:10,104.0,30.0,Lenovo,M,39+,Sichuan
485062,2016-05-07 19:29:46,104.01,30.7,Huawei,M,33-38,Sichuan
963951,2016-05-04 11:11:11,105.83,28.81,Meizu,M,33-38,Sichuan
490389,2016-05-02 19:58:26,110.72,34.32,Xiaomi,F,29-32,Henan
1169633,2016-05-03 21:01:32,117.73,24.51,OPPO,M,33-38,Fujian
487375,2016-05-05 01:01:29,1.0,1.0,OPPO,M,29-32,other
986655,2016-05-07 15:54:22,120.55,27.58,Other,M,39+,Zhejiang
714359,2016-05-01 23:48:41,114.02,22.66,Meizu,M,33-38,Guangdong
491370,2016-05-07 10:07:44,112.47,37.89,Xiaomi,F,27-28,Shanxi
261136,2016-05-06 19:25:51,111.92,34.74,Huawei,M,27-28,Henan
587272,2016-05-01 09:25:42,119.96,30.54,Huawei,F,39+,Zhejiang
943248,2016-05-01 09:08:37,116.52,39.79,Xiaomi,M,29-32,Beijing
786743,2016-05-03 18:38:17,104.72,31.77,Huawei,M,29-32,Sichuan
931327,2016-05-04 17:12:42,106.52,29.51,Samsung,M,27-28,Chongqing
936767,2016-05-04 17:56:48,121.57,38.95,Samsung,M,33-38,Liaoning
242863,2016-05-06 17:27:56,120.94,31.29,Huawei,M,39+,Jiangsu
842745,2016-05-03 13:29:22,113.21,23.4,OPPO,F,29-32,Guangdong
58519,2016-05-06 19:19:10,106.46,29.57,Meizu,M,27-28,Chongqing
451455,2016-05-04 14:18:35,115.59,35.07,Huawei,M,39+,Shandong
280516,2016-05-01 16:29:42,118.81,32.11,Huawei,F,39+,Jiangsu
817952,2016-05-07 13:28:29,119.27,33.76,Huawei,M,33-38,Jiangsu
592418,2016-05-05 02:41:25,115.88,28.66,Coolpad,F,27-28,Jiangxi
296204,2016-05-05 12:29:01,111.23,30.1,OPPO,M,29-32,Hubei
348632,2016-05-03 21:02:49,118.81,32.11,Samsung,F,39+,Jiangsu
592107,2016-05-05 08:21:04,115.88,28.66,Coolpad,F,27-28,Jiangxi
679684,2016-05-04 22:38:08,121.11,31.46,Other,M,29-32,Jiangsu
1217282,2016-05-04 20:41:24,118.02,37.37,Xiaomi,M,29-32,Shandong
735558,2016-05-07 12:24:53,116.44,39.91,Meizu,M,27-28,Beijing
986123,2016-05-04 12:03:46,121.66,29.9,Xiaomi,F,29-32,Zhejiang
